"- Click on any of the time parts to increase it","- Нажмите на любую часть времени для её увеличения"
"- Hold mouse button on any of the above buttons for faster selection.","- Держите кнопку мышки нажатой на любой из этих кнопок для более быстрого выбора."
"- or click and drag for faster selection.","- или нажмите и тяните для быстрого выделения."
"- or Shift-click to decrease it","- или Shift+щелчок мышки для уменьшения"
"- Use the %s buttons to select month","- Используйте кнопки %s  для выбора месяца"
"- Use the %s, %s buttons to select year","- Используйте кнопки %s, %s для выбора года"
"(Shift-)Click or drag to change value","(Shift+)Нажмите или тяните для изменения значения"
"(ver. %s)","(вер. %s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2009 Magento Demo Store. Все права защищены."
"%s Item(s)","%s шт."
"1 column","1 колонка"
"2 columns with left bar","2 колонки с левой полосой"
"2 columns with right bar","2 колонки с правой полосой"
"3 columns","3 колонки"
"About the calendar","О календаре"
"Click <a href=""%s"">here</a> if nothing has happened","Перейдите по <a href=""%s"">ссылке</a>, если ничего не произошло"
"Close","Закрыть"
"Close Window","Закрыть окно"
"Date selection:","Выбор даты:"
"Default Description","Описание по умолчанию"
"Default welcome msg!","Приветствие по умолчанию!"
"DHTML Date/Time Selector","DHTML выбор даты и времени"
"Display %s first","Выводить %s первым"
"Distributed under GNU LGPL. See %s for details.","Распространяется под лицензией GNU LGPL. Посетите %s для подробной информации."
"Drag to move","Тяните, чтобы переместить"
"Empty","Очистить"
"For latest version visit: %s","Последняя версия доступна здесь: %s"
"Go Today","Сегодня"
"Help Us to Keep Magento Healthy","Помогите сделать Magento лучше"
"Interface Language","Язык интерфейса"
"Items %s to %s of %s total","Позиции с %s по %s из %s"
"Next month (hold for menu)","Следующий месяц (подержать для появления меню)"
"Next Page","Следующая страница"
"Next year (hold for menu)","Следующий год (подержать для появления меню)"
"Page:","Страница:"
"per page","на странице"
"Prev. month (hold for menu)","Пред. месяц (подержать для появления меню)"
"Prev. year (hold for menu)","Пред. год (подержать для появления меню)"
"Previous Page","Предыдущая страница:"
"Redirecting...","Происходит перенаправление..."
"Report All Bugs","Сообщайте обо всех ошибках"
"Select date","Выберите дату"
"Select Store","Выберите магазин"
"Show","Показать"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Skip to Main Content"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Это демонстрационный магазин. Любые заказы, оформленные на этом сайте, не будут обработаны или выполнены."
"Time selection:","Выбор времени:"
"Time:","Время:"
"We detected that your JavaScript seem to be disabled.","Мы обнаружили что у Вас скорее всего отключен JavaScript."
"Welcome, %s!","Добро пожаловать, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Вы должны включить JavaScript в вашем браузере, чтобы использовать функциональные возможности этого сайта."
"You're currently on:","Текущая страница:"
"Your Language","Ваш язык"
"Your Language:","Ваш язык:"
"Entire Shop...","По всему магазину"
